OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
R5XV2EPZQZ,1.191,f1.4xlarge,FPGA Instances,3,Partial Upfront,convertible,EU,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
Z2E3P23VKM,2.422,f1.4xlarge,FPGA Instances,3,No Upfront,convertible,EU,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
38NPMPTW36,0.852,f1.4xlarge,FPGA Instances,3,Partial Upfront,standard,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
4NA7Y494T4,2.487,f1.4xlarge,FPGA Instances,1,No Upfront,standard,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
7NE97W5U4E,2.855,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
BPH4J8HBKS,1.845,f1.4xlarge,FPGA Instances,3,No Upfront,standard,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
CUZHX8X6JH,1.357,f1.4xlarge,FPGA Instances,1,Partial Upfront,convertible,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
HU7G6KETJZ,1.182,f1.4xlarge,FPGA Instances,1,Partial Upfront,standard,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
R5XV2EPZQZ,0.978,f1.4xlarge,FPGA Instances,3,Partial Upfront,convertible,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
Z2E3P23VKM,2.116,f1.4xlarge,FPGA Instances,3,No Upfront,convertible,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
