OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
4NA7Y494T4,0.66083,g4ad.4xlarge,GPU instance,1,No Upfront,standard,US,16,64,Dedicated,Linux,2020,10.0,2020-11-01,NVMe SSD,600
7NE97W5U4E,0.78079,g4ad.4xlarge,GPU instance,1,No Upfront,convertible,US,16,64,Dedicated,Linux,2020,10.0,2020-11-01,NVMe SSD,600
BPH4J8HBKS,0.53485,g4ad.4xlarge,GPU instance,3,No Upfront,standard,US,16,64,Dedicated,Linux,2020,10.0,2020-11-01,NVMe SSD,600
CUZHX8X6JH,0.37323,g4ad.4xlarge,GPU instance,1,Partial Upfront,convertible,US,16,64,Dedicated,Linux,2020,10.0,2020-11-01,NVMe SSD,600
HU7G6KETJZ,0.31611,g4ad.4xlarge,GPU instance,1,Partial Upfront,standard,US,16,64,Dedicated,Linux,2020,10.0,2020-11-01,NVMe SSD,600
R5XV2EPZQZ,0.29414,g4ad.4xlarge,GPU instance,3,Partial Upfront,convertible,US,16,64,Dedicated,Linux,2020,10.0,2020-11-01,NVMe SSD,600
Z2E3P23VKM,0.63102,g4ad.4xlarge,GPU instance,3,No Upfront,convertible,US,16,64,Dedicated,Linux,2020,10.0,2020-11-01,NVMe SSD,600
38NPMPTW36,0.294,g4dn.4xlarge,GPU instance,3,Partial Upfront,standard,EU,16,64,Dedicated,Linux,2019,25.0,2019-10-01,NVMe SSD,225
4NA7Y494T4,0.881,g4dn.4xlarge,GPU instance,1,No Upfront,standard,EU,16,64,Dedicated,Linux,2019,25.0,2019-10-01,NVMe SSD,225
7NE97W5U4E,1.002,g4dn.4xlarge,GPU instance,1,No Upfront,convertible,EU,16,64,Dedicated,Linux,2019,25.0,2019-10-01,NVMe SSD,225
BPH4J8HBKS,0.628,g4dn.4xlarge,GPU instance,3,No Upfront,standard,EU,16,64,Dedicated,Linux,2019,25.0,2019-10-01,NVMe SSD,225
CUZHX8X6JH,0.479,g4dn.4xlarge,GPU instance,1,Partial Upfront,convertible,EU,16,64,Dedicated,Linux,2019,25.0,2019-10-01,NVMe SSD,225
HU7G6KETJZ,0.421,g4dn.4xlarge,GPU instance,1,Partial Upfront,standard,EU,16,64,Dedicated,Linux,2019,25.0,2019-10-01,NVMe SSD,225
R5XV2EPZQZ,0.345,g4dn.4xlarge,GPU instance,3,Partial Upfront,convertible,EU,16,64,Dedicated,Linux,2019,25.0,2019-10-01,NVMe SSD,225
Z2E3P23VKM,0.739,g4dn.4xlarge,GPU instance,3,No Upfront,convertible,EU,16,64,Dedicated,Linux,2019,25.0,2019-10-01,NVMe SSD,225
38NPMPTW36,1.89758,g5.24xlarge,GPU instance,3,Partial Upfront,standard,EU,96,384,Shared,RHEL_HA,2022,50.0,2022-04-01,NVMe SSD,3800
4NA7Y494T4,5.88943,g5.24xlarge,GPU instance,1,No Upfront,standard,EU,96,384,Shared,RHEL_HA,2022,50.0,2022-04-01,NVMe SSD,3800
7NE97W5U4E,7.32129,g5.24xlarge,GPU instance,1,No Upfront,convertible,EU,96,384,Shared,RHEL_HA,2022,50.0,2022-04-01,NVMe SSD,3800
BPH4J8HBKS,4.08608,g5.24xlarge,GPU instance,3,No Upfront,standard,EU,96,384,Shared,RHEL_HA,2022,50.0,2022-04-01,NVMe SSD,3800
CUZHX8X6JH,3.49019,g5.24xlarge,GPU instance,1,Partial Upfront,convertible,EU,96,384,Shared,RHEL_HA,2022,50.0,2022-04-01,NVMe SSD,3800
HU7G6KETJZ,2.80835,g5.24xlarge,GPU instance,1,Partial Upfront,standard,EU,96,384,Shared,RHEL_HA,2022,50.0,2022-04-01,NVMe SSD,3800
R5XV2EPZQZ,2.35214,g5.24xlarge,GPU instance,3,Partial Upfront,convertible,EU,96,384,Shared,RHEL_HA,2022,50.0,2022-04-01,NVMe SSD,3800
